sale_date,whidx,skuidx,qty
18-05-2019,70401,3269615,2
18-05-2019,81490,3481968,1
20-05-2019,34122,3481968,1
21-05-2019,34122,3481968,1
21-05-2019,69100,3269615,2
21-05-2019,70401,3269615,2
21-05-2019,83539,3269615,1
22-05-2019,81490,3481968,2
24-05-2019,65261,3269615,1
24-05-2019,70401,3269615,1
25-05-2019,83539,3269615,1
26-05-2019,37163,3481968,1
26-05-2019,70360,3269615,1
26-05-2019,70401,3269615,1
26-05-2019,81490,3481968,1
26-05-2019,83539,3269615,1
27-05-2019,5156,3481968,2
27-05-2019,37163,3481968,1
27-05-2019,65245,3269615,1
27-05-2019,65261,3269615,1
27-05-2019,69100,3269615,1
28-05-2019,37163,3481968,1
28-05-2019,65245,3269615,1
28-05-2019,65261,3269615,1
29-05-2019,65261,3269615,2
29-05-2019,65265,3269615,1
29-05-2019,70401,3269615,1
29-05-2019,83539,3269615,1
30-05-2019,65261,3269615,1
30-05-2019,81490,3481968,1
31-05-2019,34122,3481968,1
31-05-2019,70401,3269615,1
31-05-2019,83539,3269615,1
01-06-2019,5156,3481968,1
01-06-2019,68500,3269615,1
01-06-2019,70360,3269615,1
01-06-2019,70401,3269615,2
01-06-2019,83539,3269615,2
02-06-2019,65245,3269615,1
02-06-2019,70401,3269615,1
03-06-2019,37163,3481968,2
03-06-2019,69100,3269615,1
04-06-2019,70401,3269615,1
04-06-2019,81490,3481968,2
04-06-2019,83539,3269615,1
05-06-2019,5156,3481968,2
05-06-2019,65245,3269615,1
05-06-2019,65261,3269615,2
06-06-2019,81490,3481968,1
07-06-2019,65261,3269615,4
07-06-2019,81490,3481968,1
07-06-2019,83539,3269615,3
08-06-2019,5156,3481968,2
08-06-2019,65261,3269615,1
09-06-2019,5156,3481968,3
09-06-2019,65245,3269615,2
09-06-2019,65261,3269615,1
09-06-2019,68500,3269615,1
09-06-2019,70360,3269615,2
10-06-2019,5156,3481968,1
11-06-2019,65245,3269615,1
11-06-2019,81490,3481968,1
12-06-2019,69100,3269615,1
12-06-2019,70401,3269615,1
12-06-2019,83539,3269615,2
13-06-2019,37163,3481968,1
13-06-2019,83539,3269615,1
14-06-2019,5156,3481968,1
14-06-2019,65245,3269615,2
14-06-2019,65265,3269615,1
14-06-2019,69100,3269615,1
14-06-2019,70360,3269615,3
14-06-2019,70401,3269615,2
14-06-2019,83539,3269615,3
15-06-2019,34122,3481968,1
15-06-2019,65245,3269615,1
15-06-2019,65261,3269615,2
15-06-2019,65265,3269615,2
15-06-2019,70360,3269615,1
15-06-2019,70401,3269615,1
15-06-2019,83539,3269615,1
16-06-2019,65261,3269615,1
16-06-2019,68500,3269615,1
16-06-2019,70360,3269615,2
16-06-2019,70401,3269615,1
16-06-2019,83539,3269615,1
17-06-2019,65261,3269615,1
17-06-2019,69100,3269615,2
18-06-2019,34122,3481968,1
18-06-2019,65265,3269615,3
18-06-2019,69100,3269615,2
18-06-2019,70360,3269615,1
19-06-2019,65245,3269615,1
19-06-2019,65261,3269615,1
19-06-2019,68500,3269615,2
19-06-2019,70360,3269615,1
20-06-2019,34122,3481968,1
20-06-2019,37163,3481968,1
20-06-2019,65261,3269615,1
20-06-2019,65265,3269615,1
20-06-2019,70401,3269615,1
21-06-2019,5156,3481968,1
21-06-2019,34122,3481968,2
21-06-2019,68500,3269615,1
22-06-2019,65261,3269615,1
22-06-2019,70360,3269615,1
22-06-2019,70401,3269615,1
22-06-2019,83539,3269615,1
23-06-2019,65261,3269615,2
23-06-2019,70401,3269615,2
24-06-2019,65261,3269615,1
24-06-2019,65265,3269615,1
24-06-2019,83539,3269615,1
25-06-2019,34122,3481968,1
25-06-2019,37163,3481968,1
25-06-2019,68500,3269615,1
25-06-2019,70360,3269615,3
25-06-2019,70401,3269615,2
25-06-2019,83539,3269615,1
26-06-2019,5156,3481968,13
26-06-2019,83539,3269615,1
27-06-2019,5156,3481968,2
27-06-2019,65265,3269615,4
27-06-2019,69100,3269615,1
27-06-2019,81490,3481968,1
27-06-2019,83539,3269615,2
28-06-2019,5156,3481968,1
28-06-2019,37163,3481968,2
28-06-2019,65245,3269615,1
28-06-2019,65265,3269615,1
28-06-2019,68500,3269615,1
28-06-2019,69100,3269615,1
28-06-2019,70401,3269615,2
28-06-2019,81490,3481968,1
28-06-2019,83539,3269615,2
29-06-2019,37163,3481968,1
29-06-2019,65265,3269615,2
29-06-2019,68500,3269615,1
29-06-2019,69100,3269615,2
29-06-2019,70360,3269615,2
29-06-2019,70401,3269615,2
29-06-2019,83539,3269615,4
30-06-2019,34122,3481968,1
30-06-2019,65261,3269615,2
30-06-2019,65265,3269615,2
30-06-2019,69100,3269615,3
30-06-2019,70360,3269615,1
30-06-2019,70401,3269615,2
30-06-2019,81490,3481968,1
30-06-2019,83539,3269615,1
01-07-2019,69100,3269615,1
01-07-2019,70360,3269615,1
02-07-2019,34122,3481968,1
02-07-2019,37163,3481968,2
02-07-2019,65245,3269615,1
02-07-2019,68500,3269615,1
02-07-2019,69100,3269615,1
02-07-2019,70360,3269615,1
02-07-2019,83539,3269615,1
03-07-2019,34122,3481968,1
03-07-2019,69100,3269615,2
03-07-2019,70401,3269615,1
03-07-2019,81490,3481968,1
03-07-2019,83539,3269615,1
04-07-2019,65261,3269615,1
04-07-2019,70360,3269615,1
04-07-2019,70401,3269615,2
05-07-2019,5156,3481968,1
05-07-2019,65265,3269615,1
05-07-2019,70360,3269615,1
05-07-2019,81490,3481968,1
06-07-2019,30442,3338776,4
06-07-2019,31642,3338776,3
06-07-2019,37163,3481968,1
06-07-2019,39633,3338776,6
06-07-2019,60181,3338776,1
06-07-2019,65261,3269615,2
06-07-2019,65940,3338776,8
06-07-2019,68500,3269615,1
06-07-2019,70360,3269615,2
06-07-2019,70401,3269615,1
06-07-2019,81490,3481968,1
06-07-2019,83539,3269615,2
07-07-2019,28902,3338776,1
07-07-2019,30322,3338776,3
07-07-2019,31642,3338776,4
07-07-2019,34082,3338776,1
07-07-2019,38243,3338776,4
07-07-2019,39633,3338776,4
07-07-2019,60181,3338776,2
07-07-2019,65261,3269615,3
07-07-2019,65265,3269615,1
07-07-2019,65940,3338776,4
07-07-2019,69100,3269615,1
07-07-2019,83539,3269615,3
08-07-2019,5156,3481968,1
08-07-2019,28902,3338776,5
08-07-2019,30442,3338776,6
08-07-2019,31642,3338776,2
08-07-2019,32722,3338776,2
08-07-2019,34082,3338776,2
08-07-2019,38243,3338776,3
08-07-2019,39633,3338776,3
08-07-2019,52760,3338776,2
08-07-2019,65265,3269615,2
08-07-2019,65940,3338776,2
08-07-2019,70401,3269615,2
09-07-2019,28422,3338776,4
09-07-2019,28902,3338776,3
09-07-2019,30442,3338776,7
09-07-2019,31642,3338776,3
09-07-2019,32722,3338776,2
09-07-2019,34082,3338776,1
09-07-2019,37203,3338776,2
09-07-2019,39633,3338776,4
09-07-2019,44612,3338776,4
09-07-2019,46299,3338776,1
09-07-2019,52520,3338776,4
09-07-2019,52760,3338776,2
09-07-2019,65261,3269615,1
09-07-2019,65265,3269615,1
09-07-2019,69100,3269615,1
10-07-2019,28422,3338776,4
10-07-2019,28902,3338776,2
10-07-2019,34082,3338776,2
10-07-2019,38243,3338776,3
10-07-2019,44612,3338776,2
10-07-2019,46022,3338776,2
10-07-2019,46299,3338776,3
10-07-2019,52520,3338776,5
10-07-2019,52760,3338776,1
10-07-2019,60181,3338776,1
10-07-2019,65245,3269615,2
10-07-2019,65261,3269615,1
10-07-2019,65265,3269615,1
10-07-2019,68500,3269615,1
10-07-2019,69100,3269615,1
10-07-2019,70360,3269615,2
11-07-2019,5156,3481968,2
11-07-2019,28422,3338776,1
11-07-2019,28902,3338776,2
11-07-2019,30442,3338776,1
11-07-2019,31642,3338776,2
11-07-2019,32722,3338776,1
11-07-2019,34082,3338776,3
11-07-2019,34122,3481968,1
11-07-2019,38243,3338776,5
11-07-2019,44612,3338776,2
11-07-2019,46022,3338776,2
11-07-2019,52520,3338776,7
11-07-2019,65261,3269615,1
11-07-2019,65940,3338776,2
11-07-2019,69100,3269615,2
11-07-2019,70401,3269615,2
11-07-2019,81490,3481968,1
12-07-2019,28422,3338776,1
12-07-2019,28902,3338776,2
12-07-2019,34082,3338776,6
12-07-2019,37203,3338776,2
12-07-2019,39633,3338776,1
12-07-2019,41713,3338776,4
12-07-2019,44612,3338776,2
12-07-2019,46022,3338776,1
12-07-2019,46299,3338776,4
12-07-2019,52520,3338776,4
12-07-2019,52760,3338776,2
12-07-2019,60181,3338776,3
12-07-2019,65261,3269615,1
12-07-2019,69100,3269615,2
12-07-2019,70401,3269615,1
13-07-2019,5156,3481968,1
13-07-2019,28422,3338776,1
13-07-2019,28902,3338776,4
13-07-2019,30442,3338776,3
13-07-2019,34082,3338776,1
13-07-2019,37203,3338776,0
13-07-2019,44612,3338776,2
13-07-2019,46022,3338776,2
13-07-2019,46299,3338776,2
13-07-2019,52520,3338776,5
13-07-2019,52760,3338776,1
13-07-2019,60181,3338776,1
13-07-2019,65265,3269615,1
13-07-2019,69100,3269615,3
13-07-2019,83539,3269615,1
14-07-2019,5156,3481968,2
14-07-2019,28422,3338776,2
14-07-2019,28902,3338776,3
14-07-2019,31642,3338776,3
14-07-2019,34082,3338776,1
14-07-2019,34122,3481968,1
14-07-2019,38243,3338776,1
14-07-2019,39633,3338776,1
14-07-2019,41713,3338776,1
14-07-2019,44612,3338776,3
14-07-2019,46299,3338776,1
14-07-2019,52760,3338776,1
14-07-2019,65245,3269615,1
14-07-2019,65261,3269615,2
14-07-2019,65265,3269615,2
14-07-2019,68500,3269615,1
14-07-2019,69100,3269615,2
14-07-2019,70360,3269615,1
14-07-2019,83539,3269615,3
15-07-2019,30442,3338776,1
15-07-2019,32722,3338776,2
15-07-2019,37163,3481968,1
15-07-2019,41713,3338776,3
15-07-2019,46299,3338776,4
15-07-2019,52520,3338776,3
