,WHIDX,SKUIDX,SALE_DATE,TOTAL_QTY
1200,38243,3338776,2020-11-24,1
1201,38243,3338776,2020-11-26,1
1202,38243,3338776,2020-11-30,1
1203,38243,3338776,2020-12-01,1
1204,38243,3338776,2020-12-05,1
1205,38243,3338776,2020-12-07,1
1206,38243,3338776,2020-12-08,1
1207,38243,3338776,2020-12-10,1
1208,38243,3338776,2020-12-12,1
1209,38243,3338776,2020-12-15,1
1210,38243,3338776,2020-12-19,1
1211,38243,3338776,2020-12-21,1
1212,41713,3338776,2019-07-14,1
1213,41713,3338776,2019-07-16,1
1214,41713,3338776,2019-07-20,1
1215,41713,3338776,2019-07-21,1
1216,41713,3338776,2019-07-23,1
1217,41713,3338776,2019-07-24,1
1218,41713,3338776,2019-07-30,1
1219,41713,3338776,2019-07-31,1
1220,41713,3338776,2019-08-06,1
1221,41713,3338776,2019-08-07,1
1222,41713,3338776,2019-08-10,1
1223,41713,3338776,2019-08-13,1
1224,41713,3338776,2019-08-14,1
1225,41713,3338776,2019-08-19,1
1226,41713,3338776,2019-08-20,1
1227,41713,3338776,2019-09-02,1
1228,41713,3338776,2019-09-06,1
1229,41713,3338776,2019-09-07,1
1230,41713,3338776,2019-09-25,1
1231,41713,3338776,2019-09-27,1
1232,41713,3338776,2019-10-05,1
1233,41713,3338776,2019-10-11,1
1234,41713,3338776,2019-10-15,1
1235,41713,3338776,2019-10-22,1
1236,41713,3338776,2019-10-23,1
1237,41713,3338776,2019-10-24,1
1238,41713,3338776,2019-11-06,1
1239,41713,3338776,2019-11-08,1
1240,41713,3338776,2019-11-10,1
1241,41713,3338776,2019-11-22,1
1242,41713,3338776,2019-11-23,1
1243,41713,3338776,2019-12-09,1
1244,41713,3338776,2019-12-20,1
1245,41713,3338776,2019-12-21,1
1246,41713,3338776,2019-12-26,1
1247,41713,3338776,2019-12-30,1
1248,41713,3338776,2020-01-01,1
1249,41713,3338776,2020-01-04,1
1250,41713,3338776,2020-01-10,1
1251,41713,3338776,2020-01-16,1
1252,41713,3338776,2020-01-26,1
1253,41713,3338776,2020-02-02,1
1254,41713,3338776,2020-02-10,1
1255,41713,3338776,2020-02-14,1
1256,41713,3338776,2020-02-22,1
1257,41713,3338776,2020-03-01,1
1258,41713,3338776,2020-03-05,1
1259,41713,3338776,2020-03-06,1
